Posted On,BHK,Rent_Floor,Total_Floors,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2022-05-19,2,0,4,1200,Super Area,Btm Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
2022-06-20,1,1,2,500,Super Area,Varanasi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,7000
2022-06-20,1,0,2,550,Super Area,Hebbal Kempapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
2022-06-11,1,0,4,450,Carpet Area,Nagarbhavi,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,13500
2022-06-16,1,4,5,430,Super Area,Garvebhavi Palya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,17000
2022-07-04,3,4,5,2430,Super Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,55000
2022-05-27,1,4,5,500,Super Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,13000
2022-05-27,2,2,5,600,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
2022-05-14,2,5,6,805,Carpet Area,"Mallasandra, Jalahalli West",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,16000
2022-05-10,2,6,8,950,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,23500
2022-05-22,2,1,1,1000,Carpet Area,"Kattigenahalli, Bellary Road",Bangalore,Unfurnished,Bachelors,2,Contact Agent,8500
2022-05-05,3,14,14,1350,Super Area,Mylasandra,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,30000
2022-07-02,3,2,4,1500,Carpet Area,Rajarajeshwari Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,22000
2022-05-12,2,1,3,1000,Carpet Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors,2,Contact Owner,15000
2022-05-19,3,0,3,800,Super Area,Kithiganur,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,15000
2022-05-19,2,0,2,1000,Carpet Area,Kamala Nagar,Bangalore,Unfurnished,Bachelors,1,Contact Owner,10000
2022-06-20,2,2,3,800,Super Area,Nagondanahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,12500
2022-06-29,3,1,2,1550,Carpet Area,Byrathi,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,24000
2022-07-04,2,1,5,1000,Super Area,Guttahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,32000
2022-07-04,2,1,4,800,Super Area,whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,19000
2022-05-05,1,0,4,700,Super Area,"Bikasipura, kanakapura Road",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,9000
2022-06-20,2,7,10,500,Super Area,Laggere,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,5500
2022-07-08,1,2,3,500,Carpet Area,"Hsr Layout Sector 3, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
2022-05-30,2,1,4,900,Super Area,"Seetharampalya, Hoodi",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,14000
2022-06-04,3,2,3,1200,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Unfurnished,Bachelors,2,Contact Owner,27000
2022-05-27,2,1,2,1000,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,14000
2022-07-06,3,4,9,1680,Carpet Area,Sarjapur Road,Bangalore,Unfurnished,Bachelors,3,Contact Agent,43000
2022-06-16,2,2,5,1100,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,30000
2022-06-30,2,1,5,1200,Carpet Area,Lavelle Road,Bangalore,Furnished,Bachelors,1,Contact Agent,50000
2022-06-25,1,1,3,900,Carpet Area,"Manyata Residency, Thanisandra",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
2022-06-24,3,3,4,1600,Carpet Area,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,25000
2022-06-30,2,4,9,1475,Carpet Area,"Royal Lakefront Phase-3 North, JP Nagar Phase 8",Bangalore,Furnished,Bachelors/Family,2,Contact Agent,25500
2022-05-14,1,1,2,300,Super Area,Abbigere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-05-14,1,1,2,400,Super Area,Vaderahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-05-23,1,1,4,550,Super Area,Btm Layout,Bangalore,Semi-Furnished,Family,1,Contact Owner,10000
2022-05-23,1,1,5,400,Super Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,15000
2022-06-04,1,1,2,500,Super Area,T Dasarahalli,Bangalore,Unfurnished,Family,1,Contact Owner,5000
2022-05-12,3,2,2,1200,Super Area,"Maruthi Nagar-Yelahanka, Yelahanka",Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,17000
2022-05-23,2,2,4,1300,Super Area,"Chuchangatta Colony, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,14000
2022-06-08,3,1,2,2100,Super Area,Srinivaspura,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,35000
2022-05-10,2,9,10,800,Carpet Area,Ashok Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,35000
2022-06-16,2,1,4,800,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,16000
2022-07-06,4,9,15,4341,Carpet Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,130000
2022-06-04,2,3,5,1300,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,35000
2022-06-16,1,2,2,400,Carpet Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
2022-05-19,2,1,3,800,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,12000
2022-06-04,2,0,3,1000,Super Area,Banashankari,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,10500
2022-05-27,1,1,5,400,Super Area,"Hennur, Hennur Bagalur Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
2022-06-23,2,0,5,1100,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,15000
2022-07-06,2,4,4,1200,Carpet Area,Hsr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,25000
2022-05-23,2,1,2,600,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9000
2022-05-23,2,0,3,1700,Super Area,Sanjay Nagar Stage 2,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,30000
2022-06-30,2,2,4,846,Carpet Area,Ramachandrapuram Rajajinagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,22000
2022-06-29,2,1,3,1100,Super Area,Kyalasanahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,14000
2022-07-08,2,1,2,700,Carpet Area,"Chamundeshwari Layout, Arakere",Bangalore,Semi-Furnished,Family,1,Contact Owner,12000
2022-06-26,2,1,1,110,Carpet Area,Kengeri,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,10000
2022-04-29,3,0,1,900,Super Area,Kalyan Nagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,25000
2022-07-07,1,17,18,420,Carpet Area,Haralur Road,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,25000
2022-06-20,2,1,4,800,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
2022-07-08,3,3,4,1500,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,60000
2022-06-04,1,3,4,900,Super Area,Vijayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7000
2022-05-27,3,1,4,1600,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,21000
2022-05-31,4,24,25,5700,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,250000
2022-07-09,1,2,4,625,Carpet Area,"Hsr Layout Sector 2, HSR Layout",Bangalore,Unfurnished,Bachelors,1,Contact Agent,19000
2022-04-29,4,1,4,1760,Carpet Area,Sun City Layout,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,42500
2022-05-19,2,0,3,600,Super Area,Nagarbhavi,Bangalore,Furnished,Bachelors,1,Contact Owner,11000
2022-05-19,2,3,4,1200,Super Area,Annapurneshwari Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
2022-05-19,1,2,4,300,Super Area,Ragavendra Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4300
2022-06-04,2,2,4,900,Super Area,Attiguppe,Bangalore,Furnished,Family,1,Contact Owner,9000
2022-05-27,1,1,2,450,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7000
2022-06-12,2,2,2,1050,Carpet Area,"Mcechs Layout, Jakkuru",Bangalore,Semi-Furnished,Family,2,Contact Owner,15000
2022-05-07,1,0,1,580,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4800
2022-06-10,2,0,3,600,Carpet Area,Kalkere,Bangalore,Unfurnished,Bachelors,2,Contact Owner,15000
2022-06-20,1,3,6,550,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,18000
2022-06-20,2,1,4,1115,Super Area,"Abbiareddy Layout, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,22500
2022-06-23,1,2,3,300,Carpet Area,Yemalur,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
2022-05-30,2,1,3,1200,Carpet Area,Abbigere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
2022-07-06,1,3,5,900,Carpet Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,9000
2022-05-23,3,1,7,1400,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,25000
2022-05-23,1,1,3,400,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9000
2022-05-23,2,3,4,900,Super Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
2022-05-19,1,0,3,500,Super Area,Seshadripuram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12500
2022-07-05,3,1,4,1360,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,21000
2022-05-14,3,3,5,1110,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17681
2022-05-23,3,3,4,2400,Super Area,Virupakshapura,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,28000
2022-07-06,3,19,26,1700,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,30000
2022-06-16,2,17,19,980,Super Area,Mysore Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,25000
2022-06-27,2,1,2,600,Super Area,Ramaswami Palya kammanhalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
2022-05-15,2,2,2,200,Carpet Area,"Mallathahalli, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,8000
2022-07-09,3,3,4,1300,Carpet Area,Benson Town,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,35000
2022-05-19,1,0,3,750,Super Area,K R Puram,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
2022-05-19,2,2,4,850,Super Area,Cox Town,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,10000
2022-05-19,1,3,4,600,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11500
2022-07-09,4,9,22,3100,Super Area,"Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,140000
2022-06-21,2,2,3,660,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors,1,Contact Owner,6000
2022-05-24,2,1,3,600,Carpet Area,Battarahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
2022-06-04,1,2,3,250,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4000
2022-05-27,2,0,2,1200,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,14000
2022-07-09,2,2,5,630,Carpet Area,Halasuru,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,24000
2022-05-23,2,1,3,840,Super Area,"Dooravani Nagar, Dooravani Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,11000
2022-05-23,2,-1,4,500,Carpet Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,10000
2022-05-31,3,4,15,1680,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,62000
2022-06-23,2,2,3,775,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,12000
2022-05-19,2,3,4,1000,Super Area,Basaveshwara Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
2022-05-19,2,0,2,900,Super Area,Hebbal Kempapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17500
2022-06-08,1,2,5,500,Super Area,Aduru,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
2022-06-20,1,2,5,550,Carpet Area,Chinnapanna Halli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,16000
2022-06-20,3,15,18,1250,Carpet Area,Begur Road,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,30000
2022-06-09,2,2,6,850,Carpet Area,"Nanja Reddy Colony, Jeevan Bima Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,28000
2022-05-30,1,1,2,150,Super Area,"Subhash Nagar, Kengeri Satellite Town",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
2022-06-23,1,1,3,445,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,9000
2022-07-08,2,2,3,500,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,8500
2022-05-21,2,2,3,750,Carpet Area,"Venkateshappa Layout-Kammanahalli, Kammanahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
2022-07-02,3,1,2,2000,Carpet Area,"Rbi Colony-Jayanagar, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,26000
2022-05-05,1,1,3,500,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
2022-05-05,1,2,4,730,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8500
2022-06-24,2,1,4,750,Super Area,Neelasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12500
2022-06-16,1,3,4,600,Super Area,Ramagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8000
2022-07-09,3,4,7,2710,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,52000
2022-06-12,2,3,4,1190,Carpet Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,18000
2022-07-07,1,2,5,435,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,15000
2022-04-29,2,1,3,750,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,12000
2022-05-27,3,2,4,1800,Carpet Area,Bilal Nagar-Sagayapura,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,100000
2022-06-14,1,3,5,1200,Carpet Area,Lakshmipura,Bangalore,Furnished,Bachelors,1,Contact Owner,6000
2022-05-05,2,2,3,600,Super Area,Btm Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
2022-05-11,1,2,2,450,Super Area,Mathikere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,6500
2022-06-16,3,3,5,1100,Super Area,Kudlu Gate,Bangalore,Unfurnished,Family,3,Contact Owner,13500
2022-06-30,1,1,1,700,Super Area,Nagarbhavi,Bangalore,Unfurnished,Bachelors,1,Contact Owner,10000
2022-06-04,2,8,8,650,Carpet Area,Attibele,Bangalore,Furnished,Family,2,Contact Owner,8500
2022-06-27,3,8,13,1768,Super Area,Yelahanka,Bangalore,Semi-Furnished,Family,3,Contact Agent,32000
2022-06-20,3,3,5,1600,Carpet Area,"Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Family,3,Contact Agent,42000
2022-05-05,1,2,4,400,Super Area,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
2022-05-23,2,1,4,1200,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
2022-05-10,1,2,4,500,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5000
2022-07-04,2,1,2,700,Super Area,C V Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,14000
2022-05-15,4,1,2,2500,Super Area,Basaveshvara Nagar,Bangalore,Semi-Furnished,Family,4,Contact Owner,60000
2022-06-23,1,2,4,500,Super Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,8500
2022-05-26,1,0,3,500,Carpet Area,snv la,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
2022-04-30,1,1,2,500,Super Area,"Rmv Extension, Armane Nagar",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,8500
2022-05-05,2,0,5,1280,Carpet Area,"Ittamadu, Banashankari, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,15000
2022-05-16,2,0,2,200,Carpet Area,Kengeri Upanagara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9500
2022-06-12,2,4,5,750,Carpet Area,Koramangala,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent,25000
2022-07-07,2,2,3,900,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,14000
2022-05-05,3,0,2,1200,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,20000
2022-07-05,1,1,1,800,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,10000
2022-05-10,2,2,4,500,Carpet Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Unfurnished,Bachelors,1,Contact Owner,10000
2022-04-29,2,0,3,1000,Super Area,"Jayanti Nagar, Hormavu",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13000
2022-07-02,2,-1,2,850,Carpet Area,Sun City Layout,Bangalore,Semi-Furnished,Family,2,Contact Owner,13000
2022-06-12,2,2,5,900,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,24000
2022-07-04,1,3,4,600,Super Area,"State Bank Of India Colony, Hegganahalli",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
2022-07-04,1,2,4,600,Super Area,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,8000
2022-07-04,1,1,4,600,Super Area,Begur,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,6000
2022-07-04,3,0,1,1250,Super Area,Margondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,21000
2022-05-23,3,1,1,2000,Super Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,25000
2022-05-19,2,1,2,532,Carpet Area,Tannery Road,Bangalore,Unfurnished,Bachelors,1,Contact Owner,8500
2022-06-08,2,1,4,1000,Super Area,Whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,13000
2022-06-20,1,2,3,150,Super Area,Rajarajeshwari Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,5000
2022-05-23,1,1,4,500,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7500
2022-07-04,1,1,4,600,Carpet Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,13900
2022-05-22,2,3,3,1100,Carpet Area,Uttarahalli,Bangalore,Furnished,Bachelors,2,Contact Owner,15000
2022-05-27,3,4,4,1500,Carpet Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,30000
2022-07-06,2,2,5,500,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,13000
2022-04-29,1,1,2,600,Carpet Area,Sir M V Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,7700
2022-05-14,2,5,12,1200,Super Area,Yelahanka,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,25000
2022-07-06,2,1,4,1100,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,17000
2022-07-07,3,1,13,1550,Carpet Area,Hennur Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,39000
2022-07-02,2,1,3,1050,Carpet Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
2022-05-05,1,1,2,500,Super Area,Shanti Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
2022-05-05,2,1,4,1500,Super Area,Shivaji Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,28000
2022-06-24,2,3,4,1150,Carpet Area,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,Semi-Furnished,Family,2,Contact Agent,17500
2022-05-23,4,0,2,2000,Super Area,Hsr Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,75000
2022-05-11,2,1,2,110,Carpet Area,RT Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,14000
2022-04-29,1,3,4,500,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,9000
2022-06-08,3,2,4,1465,Super Area,Sunkadakatte,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,20000
2022-06-04,2,2,5,940,Carpet Area,"Attur Layout, Yelahanka New Town",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
2022-05-23,2,0,4,850,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
2022-07-02,2,14,30,990,Carpet Area,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,24000
2022-06-20,2,0,3,750,Super Area,BBMP convertion layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
2022-06-20,1,2,3,500,Super Area,Garvebhavi Palya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,10000
2022-06-16,3,2,3,1430,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,24000
2022-06-08,1,3,4,600,Carpet Area,"Chelekare, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Family,1,Contact Owner,9000
2022-06-11,2,1,2,900,Carpet Area,"Jeevanhalli, Cox Town",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,12000
2022-04-29,2,0,2,1100,Super Area,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,11000
2022-04-29,2,1,3,900,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,15000
2022-05-23,1,2,3,600,Super Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5500
2022-06-23,2,0,4,1000,Carpet Area,Kudlu Gate,Bangalore,Semi-Furnished,Family,2,Contact Owner,18000
2022-07-06,2,2,4,1150,Carpet Area,Koramangala,Bangalore,Furnished,Bachelors,2,Contact Agent,42000
2022-04-29,2,1,4,1250,Super Area,"Devarachikannahalli, Begur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,18000
2022-04-29,2,1,4,1000,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
2022-06-04,1,2,3,500,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6000
2022-05-14,3,1,1,2000,Super Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,30000
2022-04-30,2,0,2,850,Super Area,Choodasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12000
2022-06-28,2,0,2,990,Carpet Area,"Hbr Layout Block 2, HBR Layout",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,10000
2022-06-27,2,1,2,850,Carpet Area,Raghavendra Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,9500
2022-05-05,2,4,5,1000,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,16000
2022-06-23,2,4,5,650,Super Area,Nagvarpalya Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9500
2022-06-16,1,2,2,400,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,6500
2022-06-03,2,2,2,1000,Carpet Area,Mylasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13500
2022-04-29,2,12,13,1350,Super Area,Doddaballapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,25000
2022-05-23,2,2,3,600,Super Area,Hbr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,9500
2022-06-08,4,0,2,4000,Super Area,Koramangala,Bangalore,Furnished,Bachelors/Family,5,Contact Owner,190000
2022-06-28,2,4,5,950,Carpet Area,Aarna Enclave,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,90000
2022-06-30,2,4,8,777,Carpet Area,Yelahanka,Bangalore,Semi-Furnished,Family,2,Contact Agent,24000
2022-06-23,3,2,4,1200,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,15000
2022-05-10,2,0,2,1600,Super Area,Kodigehalli,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,22000
2022-06-20,3,14,20,1500,Carpet Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,34000
2022-06-06,2,1,3,570,Super Area,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,12500
